area;information;2008;2009;2010;2011;2012;2013;2014;2015;2016
Alajarvi;num_of_families;2872;2854;2837;2795;2779;2782;2773;2726;2714
Alajarvi;avg_size_of_family;3.08;3.06;3.05;3.04;3.03;3.01;2.99;2.99;2.97
Alavieska;num_of_families;691;699;699;700;700;693;676;681;676
Alavieska;avg_size_of_family;3.23;3.2;3.21;3.19;3.18;3.17;3.16;3.13;3.09
Alavus;num_of_families;3453;3426;3381;3350;3332;3293;3262;3244;3215
Alavus;avg_size_of_family;3.01;2.99;2.97;2.96;2.96;2.96;2.94;2.93;2.91
Asikkala;num_of_families;2409;2395;2386;2390;2375;2371;2377;2338;2338
Asikkala;avg_size_of_family;2.78;2.77;2.76;2.74;2.74;2.72;2.7;2.69;2.69
Askola;num_of_families;1354;1373;1371;1395;1408;1402;1434;1432;1413
Askola;avg_size_of_family;2.98;2.99;2.99;2.98;2.99;2.99;2.97;2.98;2.99
Aura;num_of_families;1095;1078;1096;1106;1104;1098;1112;1111;1115
Aura;avg_size_of_family;2.96;2.96;2.95;2.98;2.95;2.95;2.94;2.93;2.91
Akaa;num_of_families;4710;4730;4775;4785;4782;4763;4748;4730;4692
Akaa;avg_size_of_family;2.86;2.85;2.85;2.84;2.84;2.84;2.84;2.83;2.83
Brando;num_of_families;135;129;126;123;123;124;126;121;122
Brando;avg_size_of_family;2.89;2.84;2.81;2.8;2.76;2.72;2.65;2.69;2.66
Eckero;num_of_families;254;260;277;279;268;271;266;270;276
Eckero;avg_size_of_family;2.84;2.75;2.69;2.72;2.7;2.64;2.65;2.6;2.53
Enonkoski;num_of_families;468;459;459;448;443;443;434;422;411
Enonkoski;avg_size_of_family;2.75;2.72;2.71;2.67;2.65;2.63;2.63;2.62;2.63
Enontekio;num_of_families;521;517;517;522;514;504;502;493;495
Enontekio;avg_size_of_family;2.83;2.78;2.76;2.75;2.78;2.8;2.8;2.78;2.78
Espoo;num_of_families;66294;66991;67719;68808;69752;70734;71843;72823;73931
Espoo;avg_size_of_family;2.9;2.89;2.9;2.89;2.89;2.89;2.89;2.89;2.88
Eura;num_of_families;3504;3499;3496;3446;3454;3451;3419;3379;3342
Eura;avg_size_of_family;2.83;2.82;2.82;2.81;2.8;2.79;2.8;2.78;2.76
Eurajoki;num_of_families;2704;2710;2729;2713;2746;2745;2744;2743;2756
Eurajoki;avg_size_of_family;2.86;2.85;2.84;2.84;2.82;2.81;2.81;2.8;2.79
Evijarvi;num_of_families;755;758;749;742;736;724;732;716;713
