year;area;information;price_per_square_meter;observations
2008;Alajarvi;block_of_flats;1458;9
2008;Alajarvi;single_family_houses;954;31
2008;Alavieska;block_of_flats;;
2008;Alavieska;single_family_houses;804;6
2008;Alavus;block_of_flats;1024;13
2008;Alavus;single_family_houses;1075;22
2008;Artjarvi;block_of_flats;;2
2008;Artjarvi;single_family_houses;;4
2008;Asikkala;block_of_flats;1291;33
2008;Asikkala;single_family_houses;1280;41
2008;Askola;block_of_flats;;
2008;Askola;single_family_houses;1752;18
2008;Aura;block_of_flats;1216;8
2008;Aura;single_family_houses;1298;39
2008;Akaa;block_of_flats;1047;111
2008;Akaa;single_family_houses;1333;128
2008;Enonkoski;block_of_flats;;
2008;Enonkoski;single_family_houses;749;7
2008;Enontekio;block_of_flats;;
2008;Enontekio;single_family_houses;;3
2008;Espoo;block_of_flats;2571;2548
2008;Espoo;single_family_houses;2925;1364
2008;Eura;block_of_flats;741;19
2008;Eura;single_family_houses;1009;47
2008;Eurajoki;block_of_flats;;2
2008;Eurajoki;single_family_houses;1132;26
2008;Evijarvi;block_of_flats;;
2008;Evijarvi;single_family_houses;;8
2008;Forssa;block_of_flats;1034;234
2008;Forssa;single_family_houses;1321;68
2008;Haapajarvi;block_of_flats;805;12
2008;Haapajarvi;single_family_houses;1063;15
2008;Haapavesi;block_of_flats;;4
2008;Haapavesi;single_family_houses;1083;16
2008;Hamina;block_of_flats;1051;168
2008;Hamina;single_family_houses;1352;105
2008;Hankasalmi;block_of_flats;;3
2008;Hankasalmi;single_family_houses;843;22
2008;Hanko;block_of_flats;1286;118
2008;Hanko;single_family_houses;1680;46
2008;Harjavalta;block_of_flats;773;59
2008;Harjavalta;single_family_houses;891;39
2008;Hartola;block_of_flats;915;8
2008;Hartola;single_family_houses;1025;11
2008;Hattula;block_of_flats;1268;36
2008;Hattula;single_family_houses;1641;62
2008;Haukipudas;block_of_flats;1562;13
2008;Haukipudas;single_family_houses;1369;94
2008;Hausjarvi;block_of_flats;783;7
2008;Hausjarvi;single_family_houses;1271;32
2008;Heinavesi;block_of_flats;876;9
2008;Heinavesi;single_family_houses;756;9
2008;Helsinki;block_of_flats;3187;9879
2008;Helsinki;single_family_houses;2855;1133
