year;county;area;population;population_area_ratio
2016;KOKO MAA;303912.28;5503297;18.11
2016;005 Alajarvi;1008.79;9899;0.43125
2016;009 Alavieska;251.41;2639;10.50
2016;010 Alavus;1087.23;11907;0.482638889
2016;016 Asikkala;563.28;8323;0.6375
2016;018 Askola;212.42;5046;1.010416667
2016;019 Aura;95.00;3984;41.94
2016;020 Akaa;293.15;16923;57.73
2016;035 Branda;108.14;471;4.36
2016;043 Eckera;107.72;928;0.375694444
2016;046 Enonkoski;305.55;1453;0.219444444
2016;047 Enontekia;7952.91;1872;0.24
2016;049 Espoo;312.29;274583;879.26
2016;050 Eura;578.80;12004;0.884722222
2016;051 Eurajoki;514.77;9418;18.30
2016;052 Evijarvi;354.13;2535;7.16
2016;060 Finstram;123.27;2594;21.04
2016;061 Forssa;248.76;17332;69.67
2016;062 Fagla;134.73;561;4.16
2016;065 Geta;84.54;499;0.270833333
2016;069 Haapajarvi;765.74;7332;9.58
2016;071 Haapavesi;1049.78;7098;0.302777778
2016;072 Hailuoto;201.21;994;0.231944444
2016;074 Halsua;413.01;1219;0.149305556
2016;075 Hamina;609.71;20636;33.85
2016;076 Hammarland;138.35;1508;0.479166667
2016;077 Hankasalmi;571.69;5159;9.02
2016;078 Hanko;116.92;8663;74.09
2016;079 Harjavalta;123.46;7240;58.64
2016;081 Hartola;542.94;2924;5.39
2016;082 Hattula;357.81;9682;27.06
2016;086 Hausjarvi;389.32;8641;22.20
2016;090 Heinavesi;1029.96;3514;3.41
2016;091 Helsinki;214.21;635181;2965.23
2016;092 Vantaa;238.37;219341;920.17
2016;097 Hirvensalmi;465.25;2274;0.228472222
2016;098 Hollola;651.19;23791;36.53
2016;099 Honkajoki;331.37;1759;5.31
2016;102 Huittinen;532.64;10403;19.53
2016;103 Humppila;147.96;2345;0.684027778
2016;105 Hyrynsalmi;1421.02;2406;0.089583333
2016;106 Hyvinkaa;322.66;46596;144.41
2016;108 Hameenkyra;463.84;10681;23.03
2016;109 Hameenlinna;1785.05;67850;38.01
2016;111 Heinola;676.06;19350;28.62
2016;139 Ii;1553.22;9628;6.20
2016;140 Iisalmi;763.05;21767;28.53
2016;142 Iitti;589.85;6889;0.505555556
2016;143 Ikaalinen;750.40;7128;9.50
2016;145 Ilmajoki;576.78;12167;21.09
2016;146 Ilomantsi;2763.48;5237;0.104166667
2016;148 Inari;15055.11;6825;0.45
2016;149 Inkoo;349.89;5585;0.691666667
2016;151 Isojoki;642.37;2079;3.24
2016;152 Isokyra;354.14;4712;13.31
2016;153 Imatra;155.01;27517;177.52
2016;165 Janakkala;547.44;16709;30.52
2016;167 Joensuu;2381.69;75848;31.85
2016;169 Jokioinen;180.42;5341;29.60
2016;170 Jomala;142.55;4757;33.37
2016;171 Joroinen;575.13;5039;0.386111111
2016;172 Joutsa;867.11;4673;5.39
2016;176 Juuka;1501.72;4938;3.29
2016;177 Juupajoki;258.50;1957;7.57
2016;178 Juva;1162.92;6421;5.52
2016;179 Jyvaskyla;1170.95;138850;118.58
2016;181 Jamijarvi;214.35;1915;0.397916667
2016;182 Jamsa;1571.38;21259;13.53
2016;186 Jarvenpaa;37.54;41529;1106.26
2016;202 Kaarina;150.43;32738;217.63
2016;204 Kaavi;674.01;3154;0.213888889
2016;205 Kajaani;1834.77;37521;20.45
2016;208 Kalajoki;922.93;12586;0.586111111
2016;211 Kangasala;658.08;31190;47.40
2016;213 Kangasniemi;1068.85;5603;5.24
2016;214 Kankaanpaa;689.41;11637;0.727777778
2016;216 Kannonkoski;445.00;1424;3.20
2016;217 Kannus;468.33;5578;0.521527778
2016;218 Karijoki;185.76;1349;7.26
2016;224 Karkkila;242.36;8911;36.77
2016;226 Karstula;887.07;4232;0.220138889
2016;230 Karvia;502.14;2449;0.227777778
2016;231 Kaskinen;0.460416667;1296;121.92
2016;232 Kauhajoki;1298.97;13772;0.458333333
2016;233 Kauhava;1313.44;16599;0.544444444
2016;235 Kauniainen;0.270138889;9397;1595.42
2016;236 Kaustinen;353.97;4298;12.14
2016;239 Keitele;481.78;2346;0.227083333
2016;240 Kemi;95.37;21602;226.51
2016;241 Keminmaa;626.33;8316;13.28
2016;244 Kempele;110.10;17297;157.10
2016;245 Kerava;30.63;35511;1159.35
2016;249 Keuruu;1257.97;9992;0.356944444
2016;250 Kihnia;357.10;1994;5.58
2016;256 Kinnula;460.19;1699;0.172916667
2016;257 Kirkkonummi;366.21;39033;106.59
2016;260 Kitee;1253.59;10719;8.55
2016;261 Kittila;8094.26;6383;0.054861111
2016;263 Kiuruvesi;1328.13;8444;6.36
2016;265 Kivijarvi;483.94;1161;2.40
2016;271 Kokemaki;480.36;7498;0.667361111
2016;272 Kokkola;1445.11;47723;33.02
2016;273 Kolari;2559.19;3827;1.50
2016;275 Konnevesi;512.93;2753;5.37
2016;276 Kontiolahti;799.18;14806;18.53
2016;280 Korsnas;235.85;2171;9.21
2016;284 Koski Tl;191.48;2416;0.543055556
2016;285 Kotka;272.01;54187;199.21
2016;286 Kouvola;2558.47;85306;33.34
